SegmentDir,Type,Metric,Value
M1 J39-40 SB,ALR,Average Speed,0.26211005073192867
M1 J40-41 NB,ALR,Average Speed,0.2855041193002234
M1 J40-41 SB,ALR,Average Speed,0.560401146619824
M5 J4a-5 NB,ALR,Average Speed,-0.179202794666794
M5 J4a-5 SB,ALR,Average Speed,-0.015580341034666316
M5 J5-6 NB,ALR,Average Speed,-0.004631484667318343
M5 J5-6 SB,ALR,Average Speed,-0.0204869880784123
M6 J10a-11 NB,Controlled,Average Speed,0.037215337991333475
M6 J10a-11 SB,Controlled,Average Speed,0.04976361285262138
M6 J11a-12 NB,ALR,Average Speed,0.33925935375825644
M6 J11a-12 SB,ALR,Average Speed,0.4242539149797889
M6 J12-13 NB,ALR,Average Speed,0.33802877026617134
M6 J12-13 SB,ALR,Average Speed,0.339834679333065
M6 J16-17 NB,ALR,Average Speed,0.3556550917370647
M6 J16-17 SB,ALR,Average Speed,0.03335576612736888
M6 J17-18 NB,ALR,Average Speed,0.28956451473622125
M6 J17-18 SB,ALR,Average Speed,0.4265347125330381
M6 J18-19 NB,ALR,Average Speed,0.12582758246444298
M6 J18-19 SB,ALR,Average Speed,0.16036951721925252
M60 J16-17 CW,Controlled,Average Speed,0.15025517002
M60 J17-18 AC,Controlled,Average Speed,0.14949604468915714
M60 J8-9 AC,Controlled,Average Speed,0.1295528269079411
M60 J8-9 CW,Controlled,Average Speed,0.08253175200836325
M62 J19-20 WB,ALR,Average Speed,0.4824130538013712
M1 J23a-24 NB,Controlled,Accident Rate,1.098570687080399
M1 J23a-24 SB,Controlled,Accident Rate,0.9670262333063209
M1 J24-25 NB,ALR,Accident Rate,-1.0
M1 J24-25 SB,ALR,Accident Rate,-0.5817949906419376
M1 J28-29 NB,ALR,Accident Rate,-0.6568985301671625
M1 J28-29 SB,ALR,Accident Rate,0.018501235412242415
M1 J29-29a NB,ALR,Accident Rate,0.8861339931605673
M1 J29-29a SB,ALR,Accident Rate,
M1 J29a-30 NB,ALR,Accident Rate,-0.5513364029275087
M1 J29a-30 SB,ALR,Accident Rate,-1.0
M1 J30-31 NB,ALR,Accident Rate,0.3028000231312874
M1 J30-31 SB,ALR,Accident Rate,-0.48930114540615816
M1 J32-33 NB,ALR,Accident Rate,-0.023131817716780766
M1 J32-33 SB,ALR,Accident Rate,-0.7288862110305485
M1 J33-34 NB,ALR,Accident Rate,-0.4582267454932034
M1 J33-34 SB,ALR,Accident Rate,-0.3711440359666246
M1 J34-35 NB,ALR,Accident Rate,-0.7026921831554451
M1 J34-35 SB,ALR,Accident Rate,-0.6429767139963735
M1 J35-35a NB,ALR,Accident Rate,
M1 J35-35a SB,ALR,Accident Rate,-0.9254050749501224
M1 J39-40 NB,ALR,Accident Rate,-0.7788048309525384
M1 J39-40 SB,ALR,Accident Rate,-0.7629383758408899
M1 J40-41 NB,ALR,Accident Rate,-0.7043531188939507
M1 J40-41 SB,ALR,Accident Rate,-0.5534814217350263
M5 J4a-5 NB,ALR,Accident Rate,0.5500879830811042
M5 J4a-5 SB,ALR,Accident Rate,-0.5132387905510372
M5 J5-6 NB,ALR,Accident Rate,-0.8705614218075811
M5 J5-6 SB,ALR,Accident Rate,-0.10502750173818068
M6 J10a-11 NB,Controlled,Accident Rate,-0.627302561907533
M6 J10a-11 SB,Controlled,Accident Rate,-0.5483755492332602
M6 J11a-12 NB,ALR,Accident Rate,-0.56148489781256
M6 J11a-12 SB,ALR,Accident Rate,-0.8899592977649337
M6 J12-13 NB,ALR,Accident Rate,0.4642662679437634
M6 J12-13 SB,ALR,Accident Rate,-0.648478335108111
M6 J16-17 NB,ALR,Accident Rate,-0.6859930168125487
M6 J16-17 SB,ALR,Accident Rate,-0.17437308028181153
M6 J17-18 NB,ALR,Accident Rate,
M6 J17-18 SB,ALR,Accident Rate,-0.6498842883092419
M6 J18-19 NB,ALR,Accident Rate,-0.5768943857095581
M6 J18-19 SB,ALR,Accident Rate,
M60 J16-17 CW,Controlled,Accident Rate,
M60 J17-18 AC,Controlled,Accident Rate,
M60 J8-9 AC,Controlled,Accident Rate,
M60 J8-9 CW,Controlled,Accident Rate,-0.27768955227235187
M62 J19-20 WB,ALR,Accident Rate,-0.8262069484135933
